ID(Number);Sex;Wing Morph;Thorax Colour;Abdomen Colour;Area;Condition;WingLength(mm);WingHeight(mm)
SM24AN001;M;Pale;Dark;Pale;Salobreña;Fresh;36.165;21.237
SM24AN002;M;Pale;Dark;Intermediate;Salobreña;Fresh;40.8875;24.135
SM24AN003;M;Dark;Dark;Pale;Salobreña;Fresh;35.5535;21.6885
SM24AN004;M;Pale;Dark;Dark;Salobreña;Faded;39.155;24.5175
SM24AN005;M;Dark;Dark;Intermediate;Salobreña;Fresh;39.1725;23.691
SM24AN006;M;Dark;Dark;Dark;Salobreña;Faded;39.117;23.9845
SM24AN007;M;Pale;Dark;Intermediate;Salobreña;Very Faded;40.031;24.768
SM24AN008;M;Pale;Dark;Intermediate;Salobreña;Fresh;35.9645;21.998
SM24AN009;M;Pale;Dark;Intermediate;Salobreña;Fresh;37.637;23.5175
SM24AN010;M;Dark;Dark;Pale;Salobreña;Fresh;35.2565;21.4455
SM24AN011;M;Dark;Dark;Pale;Salobreña;Fresh;39.2045;23.565
SM24AN012;M;Pale;Dark;Pale;Salobreña;Fresh;36.813;22.723
SM24AN013;M;Dark;Dark;Pale;Salobreña;Fresh;37.2515;22.941
SM24AN014;M;Dark;Dark;Pale;Salobreña;Fresh;35.363;21.2625
SM24AN015;M;Dark;Dark;Dark;Salobreña;Faded;37.668;22.4405
SM24AN016;M;Dark;Dark;Pale;Salobreña;Fresh;34.106;20.5135
SM24AN017;M;Dark;Dark;Intermediate;Salobreña;Fresh;35.5485;20.1585
SM24AN018;M;Pale;Dark;Pale;Salobreña;Faded;40.3585;26.058
SM24AN019;M;Dark;Dark;Pale;Salobreña;Fresh;36.2675;21.9645
SM24AN020;M;Pale;Dark;Intermediate;Salobreña;Fresh;37.1815;21.9795
SM24AN021;M;Pale;Dark;Pale;Salobreña;Fresh;38.054;23.3075
SM24AN022;M;Dark;Dark;Dark;Salobreña;Fresh;35.1355;21.132
SM24AN023;M;Pale;Dark;Dark;Salobreña;Faded;40.5545;24.803
SM24AN024;F;Pale;Dark;Intermediate;Salobreña;Faded;40.7295;24.602
SM24AN025;F;Pale;Dark;Intermediate;Salobreña;Faded;39.4425;22.9665
SM24AN026;M;Dark;Dark;Pale;Salobreña;Fresh;35.428;21.873
SM24AN027;M;Pale;Dark;Pale;Salobreña;Fresh;39.0545;23.5095
SM24AN028;M;Pale;Dark;Dark;Salobreña;Fresh;38.7515;23.578
SM24AN029;M;Dark;Dark;Dark;Salobreña;Faded;40.653;24.376
SM24AN030;M;Dark;Dark;Dark;Salobreña;Faded;37.1785;22.387
SM24AN031;M;Dark;Dark;Intermediate;Salobreña;Fresh;37.532;22.5795
SM24AN032;M;Dark;Dark;Pale;Motril;Faded;38.3125;24.056
SM24AN033;M;Pale;Dark;Dark;Motril;Fresh;37.969;22.7105
SM24AN034;M;Dark;Dark;Dark;Motril;Faded;40.281;NA
SM24AN035;M;Dark;Dark;Pale;Motril;Fresh;34.831;20.4985
SM24AN036;M;Dark;Dark;Intermediate;Motril;Fresh;39.1875;23.668
SM24AN037;F;Dark;Dark;Pale;Motril;Fresh;36.8825;22.4935
