"V1" "V2" "V3"
"1" "SM24AN001" 36.165 21.237
"2" "SM24AN002" 40.8875 24.135
"3" "SM24AN003" 35.5535 21.6885
"4" "SM24AN004" 39.155 24.5175
"5" "SM24AN005" 39.1725 23.691
"6" "SM24AN006" 39.117 23.9845
"7" "SM24AN007" 40.031 24.768
"8" "SM24AN008" 35.9645 21.998
"9" "SM24AN009" 37.637 23.5175
"10" "SM24AN010" 35.2565 21.4455
"11" "SM24AN011" 39.2045 23.565
"12" "SM24AN012" 36.813 22.723
"13" "SM24AN013" 37.2515 22.941
"14" "SM24AN014" 35.363 21.2625
"15" "SM24AN015" 37.668 22.4405
"16" "SM24AN016" 34.106 20.5135
"17" "SM24AN017" 35.5485 20.1585
"18" "SM24AN018" 40.3585 26.058
"19" "SM24AN019" 36.2675 21.9645
"20" "SM24AN020" 37.1815 21.9795
"21" "SM24AN021" 38.054 23.3075
"22" "SM24AN022" 35.1355 21.132
"23" "SM24AN023" 40.5545 24.803
"24" "SM24AN024" 40.7295 24.602
"25" "SM24AN025" 39.4425 22.9665
"26" "SM24AN026" 35.428 21.873
"27" "SM24AN027" 39.0545 23.5095
"28" "SM24AN028" 38.7515 23.578
"29" "SM24AN029" 40.653 24.376
"30" "SM24AN030" 37.1785 22.387
"31" "SM24AN031" 37.532 22.5795
"32" "SM24AN032" 38.3125 24.056
"33" "SM24AN033" 37.969 22.7105
"34" "SM24AN035" 34.831 20.4985
"35" "SM24AN036" 39.1875 23.668
"36" "SM24AN037" 36.8825 22.4935
