"scaffold" "start" "end" "sites" "zero_four_ratio_Med" "zero_four_ratio_Afr"
"3" "chr02" 200001 300000 6889 0.0727969348659004 0.0651465798045603
"4" "chr02" 300001 400000 5146 0.120418848167539 0.116402116402116
"5" "chr02" 400001 500000 4844 0.198083067092652 0.209230769230769
"6" "chr02" 500001 600000 16316 0.0652173913043478 0.0627376425855513
"7" "chr02" 600001 700000 4879 0.0468540829986613 0.0491132332878581
"8" "chr02" 700001 800000 6533 0.364312267657993 0.270186335403727
"12" "chr02" 1100001 1200000 5305 0.0356234096692112 0.0337662337662338
"13" "chr02" 1200001 1300000 5993 0.0347551342812006 0.0427480916030534
"14" "chr02" 1300001 1400000 4194 0.130699088145897 0.134751773049645
"17" "chr02" 1600001 1700000 8218 0.0732265446224256 0.082004555808656
"18" "chr02" 1700001 1800000 6151 0.0526315789473684 0.050314465408805
"19" "chr02" 1800001 1900000 13357 0.053030303030303 0.0521920668058455
"20" "chr02" 1900001 2000000 7053 0.0704225352112676 0.0745920745920746
"21" "chr02" 2000001 2100000 15512 0.01875 0.0205278592375367
"22" "chr02" 2100001 2200000 5904 0.161469933184855 0.143176733780761
"23" "chr02" 2200001 2300000 13561 0.0866477272727273 0.0791666666666667
"25" "chr02" 2400001 2500000 5692 0.0517464424320828 0.0479704797047971
"27" "chr02" 2600001 2700000 8890 0.0618374558303887 0.0619765494137353
"28" "chr02" 2700001 2800000 11661 0.0224525043177893 0.0207612456747405
"29" "chr02" 2800001 2900000 8875 0.0718446601941748 0.0809248554913295
"30" "chr02" 2900001 3000000 13282 0.0320855614973262 0.0369393139841689
"31" "chr02" 3000001 3100000 20615 0.0640096618357488 0.0668896321070234
"32" "chr02" 3100001 3200000 9599 0.0677339901477833 0.0672478206724782
"33" "chr02" 3200001 3300000 3849 0.0629370629370629 0.0678571428571429
"34" "chr02" 3300001 3400000 6140 0.0269922879177378 0.0252206809583859
"35" "chr02" 3400001 3500000 6164 0.0552995391705069 0.0649350649350649
"36" "chr02" 3500001 3600000 13038 0.0424403183023873 0.0432569974554707
"37" "chr02" 3600001 3700000 6566 0.0285714285714286 0.026525198938992
"38" "chr02" 3700001 3800000 7471 0.0431893687707641 0.0477707006369427
"39" "chr02" 3800001 3900000 15216 0.0591133004926108 0.05320813771518
"40" "chr02" 3900001 4000000 4971 0.0274636510500808 0.0291411042944785
"41" "chr02" 4000001 4100000 13314 0.031578947368421 0.0288753799392097
"50" "chr02" 4900001 5000000 6478 0.0311526479750779 0.0442477876106195
"53" "chr02" 5200001 5300000 10039 0.0399408284023669 0.035036496350365
"54" "chr02" 5300001 5400000 4934 0.0316742081447964 0.0259179265658747
"55" "chr02" 5400001 5500000 5872 0.108870967741935 0.113924050632911
"58" "chr02" 5700001 5800000 5329 0.0459016393442623 0.0516129032258065
"59" "chr02" 5800001 5900000 10411 0.0714285714285714 0.0632411067193676
"60" "chr02" 5900001 6000000 5586 0.0373563218390805 0.0389972144846797
"62" "chr02" 6100001 6200000 8539 0.0911458333333333 0.072992700729927
"63" "chr02" 6200001 6300000 12393 0.0849056603773585 0.0841121495327103
"67" "chr02" 6600001 6700000 5023 0.0740740740740741 0.0588235294117647
"68" "chr02" 6700001 6800000 12074 0.111913357400722 0.111510791366906
"69" "chr02" 6800001 6900000 5755 0.0634920634920635 0.0567901234567901
"74" "chr02" 7300001 7400000 6407 0.0303605313092979 0.0341726618705036
"75" "chr02" 7400001 7500000 7585 0.0416666666666667 0.0379266750948167
"76" "chr02" 7500001 7600000 5758 0.0332805071315372 0.0368589743589744
