"scaffold" "start" "end" "sites" "zero_four_ratio_Inv2"
"1" "chr15" 1 100000 0 NA
"2" "chr15" 100001 200000 0 NA
"3" "chr15" 200001 300000 0 NA
"4" "chr15" 300001 400000 0 NA
"5" "chr15" 400001 500000 0 NA
"6" "chr15" 500001 600000 0 NA
"7" "chr15" 600001 700000 0 NA
"8" "chr15" 700001 800000 0 NA
"9" "chr15" 800001 900000 0 NA
"10" "chr15" 900001 1000000 0 NA
"11" "chr15" 1000001 1100000 0 NA
"12" "chr15" 1100001 1200000 0 NA
"13" "chr15" 1200001 1300000 0 NA
"14" "chr15" 1300001 1400000 0 NA
"15" "chr15" 1400001 1500000 0 NA
"16" "chr15" 1500001 1600000 0 NA
"17" "chr15" 1600001 1700000 0 NA
"18" "chr15" 1700001 1800000 0 NA
"19" "chr15" 1800001 1900000 0 NA
"20" "chr15" 1900001 2000000 0 NA
"21" "chr15" 2000001 2100000 0 NA
"22" "chr15" 2100001 2200000 0 NA
"23" "chr15" 2200001 2300000 0 NA
"24" "chr15" 2300001 2400000 0 NA
"25" "chr15" 2400001 2500000 0 NA
"26" "chr15" 2500001 2600000 0 NA
"27" "chr15" 2600001 2700000 0 NA
"28" "chr15" 2700001 2800000 0 NA
"29" "chr15" 2800001 2900000 0 NA
"30" "chr15" 2900001 3000000 0 NA
"31" "chr15" 3000001 3100000 0 NA
"32" "chr15" 3100001 3200000 0 NA
"33" "chr15" 3200001 3300000 0 NA
"34" "chr15" 3300001 3400000 0 NA
"35" "chr15" 3400001 3500000 0 NA
"36" "chr15" 3500001 3600000 0 NA
"37" "chr15" 3600001 3700000 0 NA
"38" "chr15" 3700001 3800000 0 NA
"39" "chr15" 3800001 3900000 0 NA
"40" "chr15" 3900001 4000000 0 NA
"41" "chr15" 4000001 4100000 0 NA
"42" "chr15" 4100001 4200000 0 NA
"43" "chr15" 4200001 4300000 0 NA
"44" "chr15" 4300001 4400000 0 NA
"45" "chr15" 4400001 4500000 0 NA
"46" "chr15" 4500001 4600000 0 NA
"47" "chr15" 4600001 4700000 0 NA
"48" "chr15" 4700001 4800000 0 NA
"49" "chr15" 4800001 4900000 0 NA
"50" "chr15" 4900001 5000000 0 NA
"51" "chr15" 5000001 5100000 0 NA
"52" "chr15" 5100001 5200000 0 NA
"53" "chr15" 5200001 5300000 0 NA
"54" "chr15" 5300001 5400000 6904 0.10958904109589
"55" "chr15" 5400001 5500000 8703 0.297872340425532
"56" "chr15" 5500001 5600000 9051 0.0925925925925926
"57" "chr15" 5600001 5700000 4687 0.114583333333333
"58" "chr15" 5700001 5800000 2919 NA
"59" "chr15" 5800001 5900000 0 NA
"60" "chr15" 5900001 6000000 647 NA
"61" "chr15" 6000001 6100000 888 NA
"62" "chr15" 6100001 6200000 8170 0.666666666666667
"63" "chr15" 6200001 6300000 4628 0.0614035087719298
"64" "chr15" 6300001 6400000 755 NA
"65" "chr15" 6400001 6500000 3557 NA
"66" "chr15" 6500001 6600000 11889 0.635135135135135
"67" "chr15" 6600001 6700000 9625 0.125
"68" "chr15" 6700001 6800000 3797 NA
"69" "chr15" 6800001 6900000 1090 NA
"70" "chr15" 6900001 7000000 1150 NA
"71" "chr15" 7000001 7100000 685 NA
"72" "chr15" 7100001 7200000 6028 0.13953488372093
"73" "chr15" 7200001 7300000 3346 NA
"74" "chr15" 7300001 7400000 1837 NA
"75" "chr15" 7400001 7500000 0 NA
"76" "chr15" 7500001 7600000 2281 NA
"77" "chr15" 7600001 7700000 11951 0.228571428571429
"78" "chr15" 7700001 7800000 8232 0.064
"79" "chr15" 7800001 7900000 3849 NA
