V1	V2	V3	V4	V5	V6
chr02	0	100000	2	6498	Het
chr02	0	100000	2	7044	Hom1
chr02	0	100000	0	1623	Hom2
chr02	100000	200000	27	9897	Het
chr02	100000	200000	22	10624	Hom1
chr02	100000	200000	5	2481	Hom2
chr02	200000	300000	32	130973	Het
chr02	200000	300000	28	143538	Hom1
chr02	200000	300000	4	32718	Hom2
chr02	300000	400000	21	105515	Het
chr02	300000	400000	16	113859	Hom1
chr02	300000	400000	4	26575	Hom2
chr02	400000	500000	92	99868	Het
chr02	400000	500000	87	107756	Hom1
chr02	400000	500000	17	25240	Hom2
chr02	500000	600000	0	332281	Het
chr02	500000	600000	0	358807	Hom1
chr02	500000	600000	0	83085	Hom2
chr02	600000	700000	10	99599	Het
chr02	600000	700000	6	106397	Hom1
chr02	600000	700000	2	25076	Hom2
chr02	700000	800000	17	108438	Het
chr02	700000	800000	29	112582	Hom1
chr02	700000	800000	9	28064	Hom2
chr02	800000	900000	4	24659	Het
chr02	800000	900000	12	26598	Hom1
chr02	800000	900000	4	6171	Hom2
chr02	900000	1000000	0	5339	Het
chr02	900000	1000000	0	5781	Hom1
chr02	900000	1000000	0	1335	Hom2
chr02	1000000	1100000	0	0	Het
chr02	1000000	1100000	0	0	Hom1
chr02	1000000	1100000	0	0	Hom2
chr02	1100000	1200000	14	106692	Het
chr02	1100000	1200000	18	114476	Hom1
chr02	1100000	1200000	0	26665	Hom2
chr02	1200000	1300000	19	127771	Het
chr02	1200000	1300000	15	138111	Hom1
chr02	1200000	1300000	4	32011	Hom2
chr02	1300000	1400000	26	97394	Het
chr02	1300000	1400000	26	106114	Hom1
chr02	1300000	1400000	6	24507	Hom2
chr02	1400000	1500000	4	52253	Het
chr02	1400000	1500000	12	55974	Hom1
chr02	1400000	1500000	2	13205	Hom2
chr02	1500000	1600000	2	87206	Het
chr02	1500000	1600000	9	93619	Hom1
chr02	1500000	1600000	0	21016	Hom2
chr02	1600000	1700000	27	167352	Het
chr02	1600000	1700000	27	177800	Hom1
chr02	1600000	1700000	8	42110	Hom2
chr02	1700000	1800000	5	123638	Het
chr02	1700000	1800000	0	132130	Hom1
chr02	1700000	1800000	0	31150	Hom2
chr02	1800000	1900000	34	275277	Het
chr02	1800000	1900000	47	297222	Hom1
chr02	1800000	1900000	6	68966	Hom2
chr02	1900000	2000000	4	143404	Het
chr02	1900000	2000000	0	154222	Hom1
chr02	1900000	2000000	0	35952	Hom2
chr02	2000000	2100000	0	320126	Het
chr02	2000000	2100000	0	344865	Hom1
chr02	2000000	2100000	0	80063	Hom2
chr02	2100000	2200000	20	117285	Het
chr02	2100000	2200000	16	126452	Hom1
chr02	2100000	2200000	4	29297	Hom2
chr02	2200000	2300000	42	278067	Het
chr02	2200000	2300000	43	300058	Hom1
chr02	2200000	2300000	9	69434	Hom2
chr02	2300000	2400000	17	51962	Het
chr02	2300000	2400000	19	55980	Hom1
chr02	2300000	2400000	6	12966	Hom2
chr02	2400000	2500000	2	117147	Het
chr02	2400000	2500000	0	126454	Hom1
chr02	2400000	2500000	0	29283	Hom2
chr02	2500000	2600000	0	25750	Het
chr02	2500000	2600000	0	27802	Hom1
chr02	2500000	2600000	0	6438	Hom2
chr02	2600000	2700000	53	187179	Het
chr02	2600000	2700000	61	202354	Hom1
chr02	2600000	2700000	10	46757	Hom2
chr02	2700000	2800000	20	237488	Het
