V1	V2	V3	V4	V5	V6
chr02	0	100000	0	6390	African
chr02	0	100000	4	15165	Mediterranian
chr02	100000	200000	23	9853	African
chr02	100000	200000	55	23002	Mediterranian
chr02	200000	300000	28	128375	African
chr02	200000	300000	68	307229	Mediterranian
chr02	300000	400000	15	104604	African
chr02	300000	400000	43	245949	Mediterranian
chr02	400000	500000	83	99255	African
chr02	400000	500000	206	232864	Mediterranian
chr02	500000	600000	0	329196	African
chr02	500000	600000	0	774173	Mediterranian
chr02	600000	700000	4	97026	African
chr02	600000	700000	18	231072	Mediterranian
chr02	700000	800000	16	102716	African
chr02	700000	800000	63	249084	Mediterranian
chr02	800000	900000	0	24463	African
chr02	800000	900000	20	57428	Mediterranian
chr02	900000	1000000	0	5324	African
chr02	900000	1000000	0	12455	Mediterranian
chr02	1000000	1100000	0	0	African
chr02	1000000	1100000	0	0	Mediterranian
chr02	1100000	1200000	11	105139	African
chr02	1100000	1200000	39	247833	Mediterranian
chr02	1200000	1300000	6	126434	African
chr02	1200000	1300000	39	297893	Mediterranian
chr02	1300000	1400000	28	96964	African
chr02	1300000	1400000	58	228015	Mediterranian
chr02	1400000	1500000	4	47465	African
chr02	1400000	1500000	20	121432	Mediterranian
chr02	1500000	1600000	2	85145	African
chr02	1500000	1600000	12	201841	Mediterranian
chr02	1600000	1700000	27	162909	African
chr02	1600000	1700000	65	387262	Mediterranian
chr02	1700000	1800000	0	119663	African
chr02	1700000	1800000	7	286918	Mediterranian
chr02	1800000	1900000	34	272238	African
chr02	1800000	1900000	94	641465	Mediterranian
chr02	1900000	2000000	5	139687	African
chr02	1900000	2000000	7	333578	Mediterranian
chr02	2000000	2100000	0	316419	African
chr02	2000000	2100000	0	745054	Mediterranian
chr02	2100000	2200000	14	117280	African
chr02	2100000	2200000	49	273034	Mediterranian
chr02	2200000	2300000	36	273692	African
chr02	2200000	2300000	100	647559	Mediterranian
chr02	2300000	2400000	20	51590	African
chr02	2300000	2400000	45	120908	Mediterranian
chr02	2400000	2500000	0	115383	African
chr02	2400000	2500000	2	272884	Mediterranian
chr02	2500000	2600000	0	25657	African
chr02	2500000	2600000	0	59990	Mediterranian
chr02	2600000	2700000	59	186269	African
chr02	2600000	2700000	126	436290	Mediterranian
chr02	2700000	2800000	18	233876	African
chr02	2700000	2800000	36	552604	Mediterranian
chr02	2800000	2900000	35	181668	African
chr02	2800000	2900000	93	426300	Mediterranian
chr02	2900000	3000000	42	271145	African
